,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
582,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],RESPIRE,['GB-GBN'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),
583,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],Healthcare Quality Improvement Partnership jointly with NHS England,"['GB-ENG', 'GB-SCT', 'GB-WLS']",Cystic Fibrosis Trust,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,
584,['https://digital.nhs.uk/services/data-access-request-service-dars'],"HSC Health Trusts (Belfast, Northern and Western)",['GB-NIR'],Cystic Fibrosis Trust,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.nela.org.uk/NELA_Research']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,
585,['http://parkinsons.org.uk/HDRUK'],University of Bath,"['GB-ENG', 'GB-WLS']",University of Oxford,Not specified,2-6 MONTHS,
586,['https://bioresource.nihr.ac.uk/using-our-bioresource'],Zoe Global Ltd (https://joinzoe.com/),['GB-GBN'],HSC Honest Broker Service,['In Progress'],2-6 MONTHS,
587,Please contact the publisher using Contact Point details provided,Clinical Practice Research Datalink (CPRD),['GB-ENG'],"University of Dundee, Health Informatics Centre","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
588,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],Cambridge University Hospitals NHS Foundation Trust (CUH),"['GB-GBN', 'GB-ENG']",Not Applicable,['https://www.cprd.com/pricing'],VARIABLE,
589,Please contact the publisher using Contact Point details provided,Office for National Statistics,['GB-SCT'],SAIL Databank,['https://bioresource.nihr.ac.uk/using-our-bioresource/industry-researchers/industry-bioresource-usage-costs/'],2-6 MONTHS,
590,['http://www.hscbusiness.hscni.net/services/2454.htm'],Centre for Longitudinal Studies (CLS),GB-GBN,RCP London and Crown Informatics,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources'],1-2 MONTHS,
591,https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry,University Hospitals Birmingham NHS Foundation Trust,['GB-SCT'],Public Health Scotland,['www.pioneerdatahub.co.uk/data/data-services-costs/'],VARIABLE,
592,"Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.
Dataset is also available via SDLP platform.",Welsh Government,['GB-SCT'],Not Applicable,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,
593,Please contact the publisher using Contact Point details provided.,SAIL Databank,GB-GBN,SAIL Databank,['https://www.cprd.com/pricing'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
594,Please contact the publisher using Contact Point details provided,OxfordCO-CONNECT@ouh.nhs.uk,GB,SAIL Databank,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",2-6 MONTHS,
595,Please contact the publisher using Contact Point details provided.,QMUL,GB,NHS BRENT CCG,['https://www.cprd.com/pricing'],1-2 MONTHS,
596,['https://saildatabank.com/application-process/'],National Records Scotland,['GB-EA'],SAIL Databank,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,
597,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],Clinical Practice Research Datalink (CPRD),['GB-SCT'],RESPIRE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,
598,['https://www.ed.ac.uk/usher/respire/contact-us'],SAIL Databank,IN,SAIL Databank,['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],2-6 MONTHS,
599,['http://www.hscbusiness.hscni.net/services/2454.htm'],University Hospitals Birmingham NHS Foundation Trust,['GB'],Office for National Statistics,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,
600,['Available locally within Trust corporate Data Warehouse System and authorised access by Trust staff only.Dataset is also available via SUS/HES for government statistical purposes.'],University of Hull,['GB'],Not Applicable,Not specified,2-6 MONTHS,
601,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],NHS Digital,GB-ENG,National Services Scotland,['https://digital.nhs.uk/services/data-access-request-service-dars/data-access-request-service-dars-charges'],VARIABLE,
602,"['https://www.sicsag.scot.nhs.uk/research/release_of_data.html', 'https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Cystic Fibrosis Trust,['GB-GB'],Royal College of Surgeons of England,['https://www.isdscotland.org/Products-and-Services/eDRIS/'],OTHER,
603,['https://www.imperial.ac.uk/department-surgery-cancer/research/surgery/groups/pain-research-group/'],Clinical Practice Research Datalink (CPRD),GB-ENG,SAIL Databank,['https://www.qresearch.org/information/information-for-researchers/'],OTHER,
604,['HTTPS://CPRD.COM/DATA-ACCESS'],NHS DIGITAL,['GB-ENG'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['https://www.cprd.com/pricing'],16 WEEKS (8 WEEKS FOR COMMITTEE DECISION AND 8 WEEKS FOR DATA EXTRACTION AND PROCESSING),
605,['https://www.ed.ac.uk/lothian-birth-cohorts/data-access-collaboration'],The Institute of Cancer Research,['PK'],SAIL Databank,['Available at no cost at the point of use'],2-6 MONTHS,
606,https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry,SAIL Databank,GB-ENG,SAIL Databank,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",2-4 WEEKS,
607,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],NHS Digital,['GB-GB'],University of Oxford,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
608,['https://www.dundee.ac.uk/hic/governanceservice/'],SAIL Databank,['GB-GB'],SAIL Databank,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,
609,['https://saildatabank.com/application-process/'],"University College London
University of Bristol
University of Edinburgh",GB-GBN,Royal College of Paediatrics and Child Health,['www.pioneerdatahub.co.uk/data/data-services-costs/'],VARIABLE,
610,https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry,Medical Research Council,['PK'],The University of Cambridge,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",2-4 WEEKS,
611,['https://saildatabank.com/application-process/'],National Records Scotland,['GB-EAW'],NOT APPLICABLE,['https://www.qresearch.org/information/information-for-researchers/'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,
612,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data\nhttps://www.vsqip.org.uk/about-us/accessing-nvr-data/'],SAIL Databank,['GB-NIR'],Not Applicable,In Progress,2-6 MONTHS,
613,['https://dataloch.org/data/how-to-apply'],Joint data controller model across North West London,['GB-ENG'],"Crown Informatics Limited (patient identifiable information)
Royal College of Physicians (RCP), NACAP team (service level aggregated data only)
Imperial College London (service level aggregated dat only)","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,
